직업명,직업 코드 ID
"가구제조,수리원",159
가구조립 및 검사원,1152
가사도우미,352
가상현실전문가,1093
가수,280
가스ㆍ수도ㆍ전기 계기 검침원 및 안전점검원,1
가전제품 설치 및 수리원,41
가축사육자,174
간병인,353
간판제작원,284
간호사,354
간호조무사,355
감정평가사,198
개그맨,281
건물도장원,65
건설견적원,1130
건설공사품질관리원,42
건설기계운전원,77
건축공학기술자,46
건축사,1277
검사,199
게임기획자,923
경비원,358
경영컨설턴트,202
경제학연구원,203
경찰관,359
경호원,360
계산원 및 매표원,1116
고객관리시스템(CRM)전문가,469
곡식작물재배자,183
공구제조원,1135
공업기계설치 및 정비원,985
공예원,929
공작기계조작원,48
과수작물재배자,1155
관세사,207
광고 및 홍보전문가,232
광고기획자,283
광고디자이너,285
광원 및 채석원,49
교도관,363
교육학연구원,1103
교장,481
구두미화원 및 수선원,1119
구성작가,260
국악인,286
국제무역사무원,208
국제회의전문가,209
국회의원,1061
군무원,1100
귀금속 및 보석세공원,740
극작가,261
금속가공장치조작원,52
금속공학기술자,53
금융자산운용가(펀드매니저),244
금형원,54
기계공학 기술자ㆍ연구원,56
기상연구원,6
기업고위임원,238
기자,262
냉동기사,58
네이미스트,247
네일아티스트,288
네트워크엔지니어,430
노무사,205
녹음기사,59
농수산물중개인,211
농업기술자,182
단순노무자,126
단열원,1132
단조원,1139
대기환경기술자,61
대체에너지개발연구원,1282
대형트럭 및 특수차운전원,1078
데이터베이스관리자,431
도금원,1141
도배원,63
도선사,1110
도시 및 교통설계전문가,212
도자기제조원,64
도장원,1140
도축원 및 육류가공원,163
독서지도사,365
동물조련사,186
드라마작가,266
레크리에이션지도자,366
로봇연구원,66
리포터,265
마술사,1259
마케팅전문가,1068
만화가,291
메이크업아티스트,293
메카트로닉스공학기술자,1134
모델,294
목공,68
목재가공관련조작원,69
무대감독,296
무선주파수(RF)엔지니어,476
무용가,298
무인경비시스템종사원,1118
문화재보존원,299
물류관리사,215
물리치료사,369
물리학연구원,8
미용사,1122
미장원,70
바닥재시공원,155
바리스타,180
바이어(구매인),214
바텐더,370
반도체공학기술자,157
발명가,1433
발전장치조작원,1144
방문판매원,1113
방사선사,10
방사성폐기물관리원,1010
방송연출가,301
방송장비(H/W)설치 및 수리원,1147
방수원,72
배관원,74
백댄서(백업댄서),304
버스운전기사,372
번역가,267
법률사무원,252
법무사,373
베타테스터,1432
변리사,374
변호사,375
병원코디네이터,1257
보건의료정보관리사,256
보석감정사,76
보석디자이너,305
보육교사,376
보일러공,978
보험계리인,217
부동산중개인,219
북디자이너,927
분장사,306
비디오저널리스트(VJ),309
비파괴검사원,81
비행기승무원,418
비행기조종사,150
사무보조원,253
사서,268
사이버교육운영자,462
사진기자,976
사진사,975
사진인화 및 현상관련조작원,311
사진작가,310
사회단체활동가,934
사회복지사,379
사회학연구원,933
산업공학기술자,83
산업안전관리원,84
상ㆍ하수도 처리장치 조작원,85
상담전문가,380
상수도기술자,1007
상점판매원,243
상품대여원,1114
상품중개인,201
생물공학연구원,86
생물학연구원,13
생활설계사,222
샷시원,1138
서예가,1109
석공,87
석유화학기술자,88
선물중개인,223
선박 및 열차객실승무원,1125
선박갑판원,1112
선박정비원,92
선장 및 항해사,176
설문조사원,165
섬유공학기술자,57
섬유제조원,73
성악가,313
성우,270
성직자,384
세무사,224
세탁원,166
소믈리에,167
소방관,385
소설가,973
소음진동기술자,539
속기사,459
손해사정사,226
쇼핑호스트,178
수의사,15
수질환경연구원,1255
수학연구원,17
스턴트맨,314
스포츠강사,421
스포츠에이전트,1088
스포츠트레이너,392
스포츠해설가,1437
시각디자이너,937
시멘트제조원,97
시스템소프트웨어개발자,834
시스템엔지니어,440
시스템운영관리자,938
시인,968
시장 및 여론조사전문가,230
식품가공검사원,1150
식품공학기술자,162
신경회로망연구원,98
신약개발연구원,1436
신용관련추심원,1101
신용조사원,231
신호원 및 수송원,390
심리학연구원,20
아나운서,271
아이티(IT)교육강사,475
아이티(IT)기술영업원,474
악기수리원 및 조율사,347
악기제조원,318
안경사,21
안마사,1107
안무가,966
압연원,100
애니메이션기획자,920
애니메이션작가,922
애니메이터,441
애완동물미용사,319
약사 및 한약사,23
양식원,187
양장사 및 양복사,164
언어치료사,386
언어학연구원,272
에너지공학기술자,995
여행상품개발원,626
여행안내원,388
역사학연구원,273
연극연출가,320
연근해 어부 및 해녀,189
연기자,303
연예인매니저,321
연주가,317
영사기사,101
영양사,169
영업원,928
영화감독,322
영화기획자,323
영화시나리오작가,914
외교관,233
외환딜러,234
요리배달원,1129
용접원,102
우편물집배원,383
운동감독,400
운동경기심판,391
운동선수,336
원양어부,1157
원예기술자,963
원자력연구원,104
웨딩플래너,427
웹디자이너,443
웹마스터,444
웹프로듀서,1096
위생사,1108
유리부착원,1133
유리제품제조원,106
유전공학연구원,24
유제품제조원,190
유치원교사,395
은행출납사무원,255
음료제조관련조작원,1149
음반기획자,917
음악강사,1431
음악치료사,396
음향기사,915
응급구조사,397
의료장비기사,19
의료정보시스템개발자,467
의복수선원,1142
의복제품검사원,1143
이공학계열교수,364
이미지컨설턴트,325
이용사,1121
인공위성개발원,107
인문계중등학교교사,406
인문사회계열교수,988
인쇄기조작원,108
인테리어디자이너,326
일기예보관,5
일러스트레이터,327
일반공무원,362
일반의사,1440
임상병리사,941
임상심리사,398
자동조립라인 및 산업용로봇조작원,1158
자동차공학기술자,1076
자동차영업원,236
자동차정비원,109
자동차조립원,110
자연계중등학교교사,1089
자연과학연구원,1541
작가,1441
작곡가,328
작업치료사,401
장례지도사,403
장학사,1102
재료공학기술자,112
재활용 처리 및 소각로 조작원,145
전공,113
전기 부품 및 제품 생산직,1146
전기공학기술자,114
전기설비조작원,1145
전문비서,378
전문의사,25
전자 부품 및 제품 생산직,1087
전자공학기술자,119
전자상거래전문가,470
전자장비설치 및 수리원,120
전통건축원,1131
전통식품제조원,171
전화교환원,404
전화설치 및 수리원,121
접객원,1127
정밀기기제품제조원,122
정보보호전문가,435
정보중개인,452
정치학연구원,269
제과사 및 제빵사,172
제관원,1137
제품디자이너,332
제화원,50
조각가,333
조경기술자,193
조경원,192
조리사 및 주방장,173
조림 영림 및 벌목원,1156
조명기사,911
조선공학기술자,90
조적공,75
조향사,334
종이제품생산직(기계조작),1151
주방보조원,1128
주유원,1115
주조원,127
주차관리원,1120
주택관리사,405
증권분석가,239
증권중개인,240
지게차운전원,1111
지리학연구원,29
지질학연구원,30
지휘자,335
직업군인,407
직업능력개발훈련교사,409
직업상담 및 취업알선원,408
직조원,129
채소 및 특용작물재배자,1154
천문학연구원,31
철골공,131
철도 및 지하철기관사,132
철도차량정비원,133
철학연구원,1104
청소원,356
청원경찰,1117
체형관리사,179
초등학교교사,410
촬영기사,337
출판물기획전문가,338
출판편집자,926
측량사,32
치과기공사,33
치과위생사,411
치과의사,34
치어리더,1126
카레이서,1438
카지노딜러,946
카피라이터,278
캐드원,125
캐디,412
캐릭터디자이너,339
캐스팅디렉터,1439
커플매니저,1256
컬러리스트,340
컴퓨터게임시나리오작가,457
컴퓨터그래픽디자이너,458
컴퓨터설치·수리원,466
컴퓨터하드웨어 기술자 및 연구원,948
콘크리트공,1090
크레인 및 호이스트운전원,592
타이어 및 고무제품 생산직,47
택배원,371
택시운전기사,426
텔레마케터,242
토목공학기술자,137
토양환경기술자,997
통계학연구원,36
통신공학 기술자 및 연구원,138
통신망설계운영기술자,465
통신설비설치 및 수리원,1148
통신엔지니어,429
통신장비기사,140
통신케이블설치 및 수리원,139
통역가,264
투자분석가(애널리스트),950
트럭운전기사,142
특수교사,413
특수효과기술자,916
파티플래너,1276
판금원,143
판사,414
패션디자이너,344
패션코디네이터,345
패턴사,295
펄프 및 종이 생산직,144
편집기사,346
평론가,957
포장원,1153
푸드스타일리스트,177
프로게이머,1097
프로바둑기사,415
플라스틱제품제조원,147
플로리스트,316
피부관리사,416
학습지방문교사,1106
학예사(큐레이터),348
학원강사,417
한복사,175
한의사,37
항공교통관제사,148
항공기·선박조립 및 검사원,1136
항공기정비원,149
항공우주공학기술자,151
해부학연구원,38
해양공학기술자,1081
해양수산기술자,195
해양학연구원,39
해양환경기사,1006
행사기획자,951
행정부고위공무원,1278
행정학연구원,1105
헤드헌터,1279
호스피스전문간호사,428
호텔지배인,795
혼례종사원,1124
홍보도우미,419
화가,349
화학공학기술자,952
화학연구원,40
화학제품제조원,153
화훼재배기술자,954
환경공학기술자 및 연구원,1080
환경설비기술자,1004
환경영향평가원,1281
환경위생검사원,1009
환경컨설턴트,994
회계사,206
회계사무원,258
GIS전문가,1092
IT컨설턴트,450
