학과명,학과 코드 ID
가정교육과,10006
가족복지과,8
간호과,9
간호학과,10
건강관리과,12
건강관리학과,11
건설공학교육과,21002
건설정보과,16
건축공학과,17
건축과,18
건축설비과,21003
건축학과,20
게임공학과,21
게임콘텐츠과,568
경영정보과,22
경영정보학과,10139
경영학과,23
경영회계정보과,24
경제학과,25
경찰행정과,26
경찰행정학과,27
경호스포츠과,28
경호학과,10041
고고학과,29
고분자공학과,30
공간연출과,21004
공업디자인과,33
공업디자인학과,34
공업화학과,35
공연예술과,37
공예과,38
공예디자인학과,39
공예학과,41
과학교육과,44
관광경영과,45
관광경영학과,46
관광통역과,48
관현악과,49
광고기획과,50
광고디자인과,51
광고디자인학과,10140
광고홍보학과,54
광학공학과,55
교양경상학부,10141
교양공학부,10142
교양과,56
교양사회과학부,10143
교양생활과학부,10144
교양인문학부,10145
교양자연과학부,10146
교육공학과,57
교육학과,59
교통공학과,61
국방기술과,10147
국방기술학과,10038
국악학과,67
국어교육과,68
국어국문학과,69
국제경영과,10148
국제관계학과,10007
국제문화정보학과,74
국제법무학과,75
국제지역학과,21005
국제통상학과,70
국제학부,373
군사학과,10026
그래픽디자인과,386
금속공예과,77
금속공예학과,78
금속공학과,79
금융경영과,82
금융보험학과,83
금형설계과,85
기계ㆍ재료공학교육과,21006
기계공학과,86
기계과,87
기계설계공학과,88
기계설계과,89
기독교학과,93
기술교육과,32
기악과,94
기타아시아어학과,127
기타유럽어학과,389
나노공학과,96
냉동공조공학과,10049
노인보건복지과,102
노인복지학과,103
농공학과,104
농수산과,106
농업경제학과,107
농업교육과,108
대기과학과,111
댄스스포츠과,114
도시건설과,13
도시계획학과,117
도시공학과,118
도자기공예과,120
도자기공예학과,121
독어독문학과,122
독일어교육과,123
독일학과,124
동물자원학과,126
동양화과,128
디자인학과,10149
디지털디자인과,574
디지털디자인학과,10150
디지털미디어과,471
디지털콘텐츠학과,532
러시아어문학과,132
러시아학과,134
레저스포츠과,135
레저스포츠학과,10020
레크리에이션과,140
로봇공학과,10116
마케팅경영과,143
만화애니메이션학과,144
만화창작과,10008
말특수동물학과,10120
멀티미디어과,148
멀티미디어학과,149
메이크업아티스트과,150
메카트로닉스공학과,151
메카트로닉스과,152
모델과,153
모바일시스템공학과,10118
목조형가구학과,155
무도과,10152
무도학과,158
무역학과,72
무용과,160
무용학과,162
무인항공드론과,21007
무인항공학과,21008
문예창작과,163
문예창작학과,164
문헌정보과,165
문헌정보학과,166
문화관광과,167
문화인류학과,424
문화재과,169
문화재보존학과,10030
문화콘텐츠학과,10031
물류시스템공학과,172
물류학과,21009
물리교육과,174
물리치료과,175
물리치료학과,176
물리학과,177
뮤지컬과,178
미국학과,179
미디어영상학과,360
미디어출판과,558
미디어학과,181
미생물학과,21010
미술교육과,183
미술학과,184
미용과,186
바이오동물과,449
바이오생명정보과,190
반도체과,10153
반도체학과,195
반려동물과,340
방사선과,196
방사선학과,10012
방송연예과,354
방송영상과,199
방송영상미디어과,21011
방송제작과,200
법률과,202
법학과,203
벤처창업학과,208
보건관리학과,210
보건행정과,213
보건행정학과,214
보건환경과,215
보석감정과,216
부동산과,220
부동산학과,221
부사관과,423
북한학과,223
불교학과,224
불어교육과,225
불어불문학과,226
뷰티미용학과,10040
비서행정과,227
비서행정학과,228
사이버국방학과,10119
사진과,232
사진영상학과,234
사학과,236
사회교육과,21012
사회복지과,239
사회복지상담과,257
사회복지학과,240
사회체육과,241
사회체육학과,242
사회학과,243
산림자원학과,245
산업경영과,246
산업경영학과,247
산업공학과,21027
산업공학과,250
산업디자인과,252
산업디자인학과,253
산업설비자동화과,10050
산업안전과,255
산업잠수과,10051
생명공학과,260
생명과학과,261
생물교육과,263
생물산업기계공학과,10048
생물학과,265
생화학과,267
생활문화과,21013
서양화과,272
선교과,10005
선교학과,276
섬유공학과,279
섬유디자인과,281
섬유디자인학과,282
성악과,283
세라믹공학과,285
세무학과,286
세무회계과,287
세무회계학과,10154
소방방재학과,10015
소방안전관리과,288
소프트웨어공학과,290
수산학과,21014
수의학과,296
수학과,298
수학교육과,299
수해양산업교육과,10033
순수미술과,21015
스마트정보과,489
스마트폰과,10019
스토리텔링학과,10115
스페인어학과,303
스포츠건강관리학과,306
스포츠마케팅학과,304
스포츠재활과,10027
스포츠지도과,10039
스포츠지도학과,307
시각디자인과,308
시각디자인학과,309
시스템경영공학과,310
시스템공학과,311
식량자원학과,21016
식물자원학과,450
식품가공과,313
식품공학과,314
식품영양과,317
식품영양학과,318
식품자원경제학과,21017
식품조리과,320
신문방송학과,322
신소재공학과,324
신소재응용과,325
신재생에너지과,10017
신학과,326
실내디자인과,10018
실내디자인학과,10024
실용미술과,509
실용음악과,113
실용음악학과,329
심리학과,330
아동가족학과,7
아동교육과,331
아동복지과,332
아동복지학과,333
아동학과,334
아프리카어과,336
안경광학과,337
안전공학과,338
애니메이션과,339
약재자원과,10009
약학부,341
언론홍보학과,344
언어과학과,345
언어재활과,10016
언어치료학과,346
에너지자원공학과,448
역사교육과,350
연극영화과,351
연극영화학과,352
연예매니지먼트과,168
영상제작과,362
영상콘텐츠과,361
영어과,364
영어교육과,365
영어영문학과,366
영어학과,367
영화과,368
예술치료과,10046
예술치료학과,10045
예술학과,369
외국어학과,10047
외식산업과,375
외식산업학과,376
외식조리과,377
우주과학과,380
원예과,382
원예학과,383
원자력공학과,384
유럽ㆍ기타어과,131
유아교육과,390
유아교육학과,391
유아특수재활과,10032
유전공학과,392
유통경영과,393
유통물류과,21018
유통학과,394
윤리교육과,63
윤리학과,64
음악과,395
음악교육과,10022
음악학과,396
음향제작과,398
응급구조과,399
응급구조학과,10014
응용미술학과,21019
응용소프트웨어공학과,10117
의료경영학과,21020
의료보장구과,402
의료정보공학과,404
의료정보시스템과,405
의류ㆍ의상학과,407
의무행정과,408
의예과,413
의용공학과,414
이벤트연출과,418
인터넷정보과,10028
인터넷정보학과,486
일반사회교육과,431
일본어과,432
일본학과,434
일어교육과,10023
일어일문학과,436
임산공학과,437
임상병리과,439
임상병리학과,440
자동차공학과,442
자동차과,443
자동차정비과,445
자율전공학부,451
작곡과,452
작업치료과,453
작업치료학과,10021
장례지도과,454
재료공학과,456
재료과,457
재활학과,458
전기ㆍ전자ㆍ통신공학교육과,460
전기공학과,459
전기과,461
전기자동화과,580
전기전자공학과,463
전기전자과,464
전기제어공학과,465
전자공학과,469
전자과,470
전통조리과,479
정밀화학과,484
정보보호학과,488
정보통신공학과,490
정보통신과,491
정치외교학과,492
제과제빵과,493
제약공학과,494
제어계측공학과,495
제어계측과,496
제지공학과,498
제철금속과,499
제품디자인과,500
조경과,502
조경학과,503
조리과학과,504
조선공학과,505
조선과,10037
조소학과,507
조형과,21021
조형디자인학과,508
종교교육과,510
종교학과,511
주얼리디자인과,598
중국비즈니스과,10035
중국어과,514
중국학과,516
중어중문학과,520
지구과학교육과,522
지구정보공학과,524
지구해양과학과,525
지구환경과학과,523
지리교육과,526
지리학과,529
지방행정과,531
지역개발학과,533
지적과,535
지적학과,536
지질학과,537
창업경영과,540
천문학과,541
철도경영과,542
철도교통과,547
철도운전과,545
철도전기제어과,546
철도토목과,543
철학과,548
청소년복지과,549
청소년지도학과,550
체육교육과,551
체육학과,552
초등교육과,554
축산과,556
축산학과,557
측지정보과,560
치기공과,562
치기공학과,10054
치위생과,563
치위생학과,10013
치의예과,564
커뮤니케이션디자인학과,566
컨벤션산업과,567
컬러리스트과,10011
컴퓨터공학과,569
컴퓨터과,21022
컴퓨터과학과,570
컴퓨터교육과,571
컴퓨터디자인학과,575
컴퓨터보안과,576
컴퓨터소프트웨어과,578
컴퓨터시스템과,21023
컴퓨터응용기계과,579
컴퓨터정보과,10036
코디네이션과,582
태권도과,157
토목공학과,588
토목과,590
통계학과,591
통번역학과,10034
특수교육학과,592
특수장비과,593
특수체육교육과,21024
패션디자인과,596
패션디자인학과,10156
패션산업과,21025
푸드스타일링과,606
품질관리과,607
프랑스학과,609
피부미용과,611
피아노학과,612
한국어과,10043
한국어학과,613
한문교육과,615
한문학과,616
한약자원학과,10001
한약학과,618
한의예과,619
항공보안과,10052
항공서비스과,622
항공서비스학과,10029
항공여행과,623
항공우주공학과,624
항공운항학과,626
항공정비과,627
항해학과,629
해양경찰과,10003
해양경찰학과,630
해양공학과,631
해양생명과학과,342
해양스포츠학과,633
해양시스템학과,634
해양자원학과,635
행정과,636
행정학과,639
호텔경영과,643
호텔경영학과,10157
호텔외식경영과,644
호텔조리과,645
화장품과,646
화장품과학과,10010
화학공업과,647
화학공학과,648
화학공학교육과,21026
화학과,649
화학교육과,650
환경공업과,652
환경공학과,653
환경과학과,654
환경교육과,10042
환경디자인과,656
환경디자인학과,657
환경보건학과,658
환경시스템과,659
환경조각학과,660
환경화학과,661
회계학과,662
회화학과,663
e-비즈니스과,10025
e-비즈니스학과,666
IT융합학과,21001
